Name,ID Number,Status
THE SONS OF BETHEL NUMBER 2 OF ATCHISON,1490846,FORFEITED - FAILED TO TIMELY FILE A/R
THE SONS OF BETHEL NUMBER 2 OF ATCHISON,1490853,EXPIRED
"BREAKER OF HOT SPRINGS, INC.",234401,FORFEITED - FAILED TO TIMELY FILE A/R
"BREAKER OF NEWTON, INC.",167676,FORFEITED - FAILED TO TIMELY FILE A/R
"BREAKER OF PINE BLUFF, INC.",307702,FORFEITED - FAILED TO TIMELY FILE A/R
"BREAKER OF SPRINGFIELD, INC.",357038,FORFEITED - FAILED TO TIMELY FILE A/R
BROTHERS ONE LLC,7900293,FORFEITED - FAILED TO TIMELY FILE A/R
"CLEAR BOX INSIGHTS, LLC",6868244,ACTIVE AND IN GOOD STANDING
"CRYSTAL MOUNTAIN PRODUCTIONS,LLC",8767964,FORFEITED - FAILED TO TIMELY FILE A/R
EL PASO PRODUCTION COMPANY,7125792,WITHDRAWN
"EMPORIA KS DRIVE-IN RESTAURANT #1, L.L.C.",2309482,ACTIVE AND IN GOOD STANDING
"FIGEAC AERO NORTH AMERICA, INC.",2765584,ACTIVE AND IN GOOD STANDING
"INSTRUMENTAL ADVISORS, INC.",6962583,ACTIVE AND IN GOOD STANDING
"INSURANCE ALTERNATIVES, INC.",7058910,FORFEITED - FAILED TO CORRECT AND RETURN A/R
"LEASEHOLD INVESTMENTS OF BONNER SPRINGS, L.P.",2097012,FORFEITED - FAILED TO TIMELY FILE A/R
"S-G METALS INDUSTRIES, INC.",7017064,FORFEITED - FAILED TO TIMELY FILE A/R
SAFE SCENTS BY SONYA INC,6478978,ACTIVE AND IN GOOD STANDING
"SDI OF DERBY #2, L.L.C.",2520716,ACTIVE AND IN GOOD STANDING
"SDI OF KEARNEY, INC.",2661320,ACTIVE AND IN GOOD STANDING
"SDI OF OVERLAND PARK #5, LLC",4262036,ACTIVE AND IN GOOD STANDING
"SDI OF OVERLAND PARK #6, LLC",4360475,ACTIVE AND IN GOOD STANDING
"SDI OF PARSONS, LLC",19877,ACTIVE AND IN GOOD STANDING
SON & SONS LLC,8629941,ACTIVE AND IN GOOD STANDING
SON - RISE LEASING LLC,3927860,FORFEITED - FAILED TO TIMELY FILE A/R
SON BROTHERS LLC,9539347,ACTIVE AND IN GOOD STANDING
SON CORPORATION,318741,FORFEITED - FAILED TO TIMELY FILE A/R
