Business ID,Type,Name,Name Type,Filing Date,Status
CH002800,NCORP,SONS OF ISRAEL CEMETERY SOCIETY,Entity,6143,Dissolved (Administrative)
CH003486,NCORP,SONRISE BAPTIST CHURCH,Entity,37581,Dissolved
DA134318,LLC,"Brechtel & Son, LLC",Entity,42905,Good Standing
DB000107,CORP,H.O. ANDERSON & SON,Entity,21303,Dissolved (Administrative)
DB002339,CORP,D.G. BANIK & SON ELEVATOR,Entity,22465,Cancelled
DB002463,CORP,"A.G. TRUCANO, SON & GRANDSONS, INC.",Entity,22556,Dissolved
DB005644,CORP,W.E. BARTHOLOW & SON CONSTRUCTION CO.,Entity,13599,Cancelled
DB009832,CORP,"H. F. JACOBS & SON CONSTRUCTION, INC.",Entity,25476,Good Standing
DB012977,CORP,"OWEN & SON, INC.",Entity,27584,Cancelled
DB013394,CORP,"DONALD E. PETERSON AND SON, INC.",Entity,27803,Cancelled
DB014567,CORP,"LEINEN & SON CONSTRUCTION, INC.",Entity,28345,Cancelled
DB014599,CORP,"SCHMIDT & SON, INC.",Entity,28354,Dissolved (Administrative)
DB016227,CORP,"MARLIN E. HOFFMAN & SON, INC.",Entity,28843,Cancelled
DB020331,CORP,"L & R PAINTING & SON, INC.",Entity,29598,Cancelled
DB021236,CORP,"R.H. SVENDSEN & SON, INC.",Entity,29956,Cancelled
DB022187,CORP,"MULDER & SON, INC.",Entity,30379,Good Standing
DB022519,CORP,"KEN DEHN AND SON OIL COMPANY, INC.",Entity,30489,Cancelled
DB023116,CORP,"DUNN & SON, INC.",Entity,30713,Cancelled
DB024341,CORP,"EWERT AND SON AVIATION, INC.",Entity,31146,Dissolved
DB025557,CORP,"FENNER & SON CONSTRUCTION, INC.",Entity,31607,Dissolved
DB025732,CORP,SONSTEGARD FOODS COMPANY,Entity,31684,Good Standing
DB026686,CORP,"SONIC SPOOK, INC.",Entity,32029,Cancelled
DB028399,CORP,"J.J. OLSON & SON, INC.",Entity,32645,Cancelled
DB028798,CORP,"MILLER & SON, INC.",Entity,32794,Good Standing
DB028821,CORP,"G.J. HOLSWORTH AND SON, INC.",Entity,32804,Good Standing
DB029091,CORP,"SONOMA TRADING COMPANY, INC.",Entity,32892,Dissolved
DB029752,CORP,"LUDD & SON, INC.",Entity,33101,Cancelled
DB030805,CORP,EWERT & SON INC.,Entity,33430,Cancelled
DB031413,CORP,"SON-RISE PROPERTIES, INC.",Entity,33644,Dissolved
DB031413,CORP,"SON-RISE PROPERTIES, INC.",Entity,33644,Dissolved
DB032305,CORP,"SONETEX, INC.",Entity,33920,Cancelled
DB034436,CORP,"SONS OF GUNS, INC.",Entity,34486,Good Standing
DB035536,CORP,"OTTEN & SON, INC.",Entity,34771,Cancelled
DB036591,CORP,"C. E. HEIBULT AND SON EXCAVATING, INC.",Entity,35059,Good Standing
DB040899,CORP,"J.W. ANDERSON & SON, INC.",Entity,36160,Cancelled
DB040956,CORP,"WILABY & SON ELECTRIC, INC.",Entity,36172,Cancelled
DB041318,CORP,"SONSHINE INN, INC.",Entity,36271,Cancelled
DB043662,CORP,"SONSATIONS, INC.",Entity,36902,Cancelled
DB044882,CORP,"RSR AND SON, INC.",Entity,37256,Cancelled
DB045253,CORP,"SONNENBURG CONSTRUCTION, INC.",Entity,37340,Cancelled
DB046819,CORP,"PENROD & SON TRUCKING, INC.",Entity,37746,Good Standing
DB049697,CORP,"DAVID/SON CONSTRUCTION, INC.",Entity,38481,Cancelled
DB051035,CORP,"O'CONNOR & SON TRUCKING, INC.",Entity,38834,Good Standing
DB054123,CORP,COG AND SON INDUSTRIES INCORPORATED,Entity,39797,Cancelled
DB055040,CORP,SONOSERVE CORP.,Entity,39066,Dissolved (Administrative)
