Business Name,UBI#,Business Type,Principal Office Address,Registered Agent Name,Status
"""A SMILE FOR SONI"" L.L.C.",602 878 866,WA LIMITED LIABILITY COMPANY,"2812 S 226TH ST, PO BOX 98750, DES MOINES, WA, 98198, UNITED STATES",GINGER R LOTULELEI,Administratively Dissolved
"""CARY-HRISTO TSONEV"" LLC",602 480 761,WA LIMITED LIABILITY COMPANY,"2814 NE 8TH ST UNIT B, RENTON, WA, 98056, UNITED STATES",TSENKA MARINOVA TSONEVA,Administratively Dissolved
"""EVERYONE HAS A SONG"" YOUTH PROJECT",601 481 252,WA NONPROFIT CORPORATION,"932 12TH AVE, SEATTLE, WA, 98122, UNITED STATES",CYNTHIA ASHTON JEFFERSON,Inactive
"""JACKSON & PURDEN INVESTMENTS, LLC""",602 576 995,WA LIMITED LIABILITY COMPANY,"2816 S EDDY ST, SEATTLE, WA, 98118, UNITED STATES",RAYMOND JACKSON,Administratively Dissolved
"""PRISONERS OF HOPE""",602 684 126,WA NONPROFIT CORPORATION,"9500 RAINIER AVE S #210, SEATTLE, WA, 98118, UNITED STATES",SYLVIA VAN PARYS,Inactive
"""SON"" RISE RANCH LLC",604 311 850,WA LIMITED LIABILITY COMPANY,"34923 46TH AVE S, ROY, WA, 98580-9606, UNITED STATES",RONALD POLLAND JR,Active
"& FOWLER SONS, INC.",604 145 120,WA PROFIT CORPORATION,"1765 EDWARDS DR, POINT ROBERTS, WA, 98281-8504, UNITED STATES","BS&G, INC.",Active
(A) IRMA ROBINSON LIMITED PARTNERSHIP,601 892 791,WA LIMITED PARTNERSHIP,,SHARI RGROSS,Inactive
(ASX) ALL SEASON'S EXPRESS LLC,602 653 427,WA LIMITED LIABILITY COMPANY,"16036 51ST AVE 50TH LOWER UNIT, TUKWILA, WA, 98188, UNITED STATES",TOMMIE FIFE,Inactive
1 SON MASONRY LLC,604 500 576,WA LIMITED LIABILITY COMPANY,"122 DEBRA LN, ONALASKA, WA, 98570-9517, UNITED STATES",STEVEN STOCKTON,Active
"1-800-HANSONS, LLC",604 239 372,FOREIGN LIMITED LIABILITY COMPANY,"977 E 14 MILE RD, TROY, MI, 48083-4519, UNITED STATES",C T CORPORATION SYSTEM,Terminated
"1000 MADISON, LLC",602 573 874,WA LIMITED LIABILITY COMPANY,"1100 9TH AVE, SEATTLE, WA, 98111, UNITED STATES",LYNNE A CHAFETZ,Active
"101 SOUTH JACKSON, LLC",604 123 954,WA LIMITED LIABILITY COMPANY,"101 S JACKSON ST, SEATTLE, WA, 98104-2820, UNITED STATES",TIMOTHY WIRICK,Active
"1015 NORTH GARRISON PROPERTY, LLC",604 203 251,WA LIMITED LIABILITY COMPANY,"824 N POINSETTIA PL, LOS ANGELES, CA, 90046-7624, UNITED STATES","NORTHWEST REGISTERED AGENT, LLC",Active
"1015 NORTH GARRISON, LLC",604 176 090,WA LIMITED LIABILITY COMPANY,"149 S MANSFIELD AVE, LOS ANGELES, CA, 90036-3018, UNITED STATES",NORTHWEST REGISTERED AGENT LLC,Active
"1020 ANDERSON DRIVE, LLC",602 352 518,WA LIMITED LIABILITY COMPANY,"110 COMMERCE ST, ABERDEEN, WA, 98520, UNITED STATES","INGRAM, ZELASKO & GOODWIN REGISTERED AGENTS, INC.",Active
1029 SOUTH JACKSON STREET APARTMENTS INVESTORS LLC,604 345 146,FOREIGN LIMITED LIABILITY COMPANY,"411 1ST AVE S, SUITE 650, SEATTLE, WA, 98104-3807, UNITED STATES",FIKSO KRETSCHMER SMITH DIXON ORMSETH PS,Active
"1031 XPRESS ADDISON GREENS, LLC",602 625 216,WA LIMITED LIABILITY COMPANY,"110 110TH AVE NE STE 550, BELLEVUE, WA, 98004, UNITED STATES",1031 XPRESS INC,Administratively Dissolved
"106 SIMPSON AVE., INC.",604 069 883,,,,
