Entity ID,Entity Name,City,Type,Status
017 - 039,"Son & C Contractors, Inc.","AUBURN, AL",Domestic Corporation,Dissolved
559 - 378,Son & Daughters Holy Temple of God,"MOBILE, AL",Domestic Non-Profit Corporation,Exists
051 - 251,"Son & Kim Enterprise, Inc.","MONTGOMERY, AL",Domestic Corporation,Exists
311 - 747,Son & P Sarang Inc,"ANNISTON, AL",Domestic Corporation,Dissolved
472 - 901,"Son Blue Enterprises, L.L.C.","RAMER, AL",Domestic Limited Liability Company,Exists
562 - 117,Son Cast Media Inc.,"BIRMINGHAM, AL",Domestic Non-Profit Corporation,Exists
054 - 909,Son Co Inc,Not Provided,Domestic Corporation,Exists
313 - 979,Son Corp,"ANNISTON, AL",Domestic Corporation,Dissolved
427 - 324,"Son Country Farm, LLC","STERRETT, AL",Domestic Limited Liability Company,Exists
092 - 476,"SON-DER, Inc.","ONEONTA, AL",Domestic Corporation,Dissolved
160 - 361,Son Development Corporation,"DOTHAN, AL",Domestic Corporation,Merged
107 - 545,"Son Development, Inc.","DOTHAN, AL",Domestic Corporation,Dissolved
689 - 142,"Son Drywall, LLC","COLUMBIANA, AL",Domestic Limited Liability Company,Exists
017 - 040,"Son-Glo-Foods, Inc.","LEXINGTON, AL",Domestic Corporation,Exists
795 - 860,"Son, Inc.","MEMPHIS, TN",Foreign Corporation,Merged
055 - 932,"Son, Inc. of Alabama","BIRMINGHAM, AL",Domestic Corporation,Exists
200 - 268,"Son Jen, Inc.","DECATUR, AL",Domestic Corporation,Exists
170 - 815,"Son Kist Enterprises, Incorporated","HUNTSVILLE, AL",Domestic Corporation,Exists
746 - 153,Son Light Assembly of Athens,"---, AL",Domestic Non-Profit Corporation,Consolidated
563 - 104,"Son Light Center, Inc.","JEMISON, AL",Domestic Non-Profit Corporation,Exists
306 - 365,"Son Light Communications, Inc.","STAPLETON, AL",Domestic Corporation,Exists
550 - 001,Son Light Fellowship,"EUFAULA, AL",Domestic Non-Profit Corporation,Exists
555 - 273,Son Light Ministries,"JACKSON, AL",Domestic Non-Profit Corporation,Exists
245 - 197,"Son Light Transport, Inc.","GARDEN CITY, AL",Domestic Corporation,Exists
294 - 024,"Son-Ne-Farms, LLC",Not Provided,Domestic Limited Liability Company,Exists
389 - 002,Son of a Beard LLC,Not Provided,Domestic Limited Liability Company,Exists
290 - 871,SON OF A JONES LLC,"NORTHPORT, AL",Domestic Limited Liability Company,Exists
026 - 610,Son Of Man Records INC,"BIRMINGHAM, AL",Domestic Corporation,Exists
375 - 467,Son Place LLC,Not Provided,Domestic Limited Liability Company,Exists
124 - 360,"Son-Ray Sportswear, Inc.","BIRMINGHAM, AL",Domestic Corporation,Exists
813 - 459,"Son Rise Baptist Church, Inc.","HARTSELLE, AL",Domestic Non-Profit Corporation,Exists
560 - 337,"Son Rise Baptist Church of Hollywood, Alabama","HOLLYWOOD, AL",Domestic Non-Profit Corporation,Exists
104 - 608,"Son Rise Enterprises, Inc.","MOBILE, AL",Domestic Corporation,Exists
585 - 496,"Son Rise Mechanical, Inc.",Not Provided,Domestic Corporation,Exists
237 - 535,"Son Rise Properties, Inc.","DANVILLE, AL",Domestic Corporation,Exists
562 - 382,"Son-Rise, Sun Set Ministries, Inc.","BIRMINGHAM, AL",Domestic Non-Profit Corporation,Exists
136 - 819,"Son Rise Supply, Inc., a close corporation","BIRMINGHAM, AL",Domestic Corporation,Dissolved
046 - 930,"SON RISE TRUCKING, LLC",Not Provided,Domestic Limited Liability Company,Exists
308 - 701,Son Shine Balloons and Faces LLC,"FAIRFIELD, AL",Domestic Limited Liability Company,Dissolved
551 - 255,The Son-Shine Club,"ONEONTA, AL",Domestic Non-Profit Corporation,Exists
535 - 175,Son-Shine Lawn Care Services LLC,Not Provided,Domestic Limited Liability Company,Exists
819 - 436,"Son-Shine Ministries Foundation, Inc.","ARAB, AL",Domestic Non-Profit Corporation,Exists
561 - 653,"Son Shine Ministries, Inc.","FOLEY, AL",Domestic Non-Profit Corporation,Exists
795 - 379,"Son Shine Ministries, Inc.","MONTGOMERY, AL",Domestic Non-Profit Corporation,Previous Name
795 - 379,"Son Shine Ministries International, Inc.","MONTGOMERY, AL",Domestic Non-Profit Corporation,Exists
010 - 274,Son Shines Hope International,"MONTGOMERY, AL",Domestic Non-Profit Corporation,Exists
795 - 384,"Son Steele Motors, Inc.","MOBILE, AL",Domestic Corporation,Exists
323 - 866,Son Time LLC,"DAUPHIN ISLAND, AL",Domestic Limited Liability Company,Dissolved
730 - 458,"A. Copeland and Son, Inc.","BIRMINGHAM, AL",Domestic Corporation,Dissolved
730 - 460,"A. Copeland & Son, Inc.","BIRMINGHAM, AL",Domestic Corporation,Dissolved
769 - 645,"A. B. Legg & Son Co., Inc.","JASPER, AL",Domestic Corporation,Consolidated
095 - 057,"A.C. Jackson & Son, Inc.","TUSCALOOSA, AL",Domestic Corporation,Dissolved
903 - 283,"A. C. Leadbetter & Son, Inc.","TOLEDO, OH",Foreign Corporation,Revoked
915 - 627,"A.C. Leadbetter & Son, Inc.","TOLEDO, OH",Foreign Corporation,Exists
810 - 322,"A. C. West & Son, Inc.","ORLANDO, FL",Foreign Corporation,Withdrawn
810 - 327,"A. C. West & Son, Inc.","ORLANDO, FL",Foreign Corporation,Exists
091 - 672,"Adams & Son Real Estate, Inc.","CULLMAN, AL",Domestic Corporation,Dissolved
231 - 441,"Adams & Son Tree Trimming & Landscaping, Inc.","ATHENS, AL",Domestic Corporation,Exists
304 - 751,"Adams & Son Tree Trimming & Removal, LLC","ATHENS, AL",Domestic Limited Liability Company,Exists
085 - 643,"Aderholt & Son Grading & Paving, Inc.","JACKSONVILLE, AL",Domestic Corporation,Exists
701 - 400,Adler & Son,"VAUXHALL, NJ",Foreign Corporation,Withdrawn
794 - 571,"A. F. Smart & Son, Inc.","FAIRHOPE, AL",Domestic Corporation,Dissolved
