Business Name,Control Number,Business Type,Principal Office Address,Registered / Designated Agent Name,Status
"'CILLE'S DAUGHTER, LLC",12067672,Domestic Limited Liability Company,"4261 Wrexham Court, Snellville, GA, 30039, USA","Washington, Robbyn",Admin. Dissolved
"2 Daughters Enterprise, LLC",19132132,Domestic Limited Liability Company,"705 Buckingham Terrace, Fairburn, GA, 30213, USA",Mario Miller,Active/Compliance
2 daughters logistics,,Name Reservation,NONE,NONE,Redeemed
2 daughters logistics LLC,17108704,Domestic Limited Liability Company,"1807 ASHBOROUGH CIRCLE, APT C, MARIETTA, GA, 30067, USA",CAROLINE M GITONGA,Active/Compliance
"2 Sisters Daughters,",,Name Reservation,NONE,NONE,Expired
"2 Sisters Daughters, LLC",19085251,Domestic Limited Liability Company,"2910 Botany Drive, Jonesboro, GA, 30236, USA",April Ivey,Active/Compliance
"2 Sons and 4 Daughters, LLC",15022129,Domestic Limited Liability Company,"4842 Jimmy Carter Blvd., Ste. C, Norcross, GA, 30093, USA",Agent Resigned,Active/Compliance
3 Daughters Construction LLC.,18153492,Domestic Limited Liability Company,"5475 Fort Fisher Way, Peachtree Corners, GA, 30092, USA",Brandon Dana Collier,Active/Compliance
"3 Sons and A Daughter Productions, LLC",17010147,Domestic Limited Liability Company,"2201 Summerwalk Pkwy, Tucker, GA, 30084, USA",Malak Abdus-Salaam,Admin. Dissolved
6 DAUGHTERS CATTLE RANCH LLC,11082343,Domestic Limited Liability Company,"476 NW Boundary Drive, Port St Lucie, FL, 34986, USA",Zollie Lenton Smith,Terminated
"A DAUGHTER'S DREAM, INC.",334655,Domestic Profit Corporation,"108 ARNOLD MILL RD, WOODSTOCK, GA, 30188, USA",KIM KOZAK,Admin. Dissolved
"A Daughter's Hands, LLC",16095874,Domestic Limited Liability Company,"110 Tolomato Trce, St. Simons Island, GA, 31522-1812, USA",Lila Magbee,Admin. Dissolved
A DAUGHTER'S LOVE CORP.,15044915,Domestic Nonprofit Corporation,"6992 CHASEWATER LANE, AUSTELL, GA, 30168, USA","UNITED STATES CORPORATION AGENTS, INC.",Admin. Dissolved
"A Daughter's Love Home Care, Inc",17057431,Domestic Nonprofit Corporation,"919 CORDER ROAD APT 44, WARNER ROBINS, GA, 31088, USA","Dana Lewis, Denise",Admin. Dissolved
A DAUGHTER'S PROMISE LLC,19114263,Domestic Limited Liability Company,"1006 Fayetteville Rd, Atlanta, GA, 30316, USA",Shaketia Holloway,Active/Compliance
