Business Name,Business ID,Status
SONN CORPORATION,21500,Dissolved
"SONDIK & CO., INCORPORATED",22299,Merged
"THE SONNENREICH CORPORATION, INC.",42592,Merged
"SON, INC.",42958,Active
"SONALYSTS, INC.",42959,Active
"SONAN CONSTRUCTION CO., INC.",42960,Forfeited
SON-CHIEF ELECTRICS EXPORT SALES COMPANY,42961,Dissolved
"SON-CHIEF ELECTRICS, INCORPORATED",42962,Dissolved
"SONDALE, INCORPORATED",42963,Forfeited
SONDIK INC.,42964,Dissolved
SONESSCO INCORPORATED,42965,Forfeited
"SONG LONE, INC.",42966,Forfeited
SONIC CORP.,42968,Active
SONIC RESEARCH INC.,42969,Forfeited
"SONICS & MATERIALS, INC.",42971,Withdrawn
SONICWELD CORPORATION,42972,Dissolved
"SONITROL SECURITY SYSTEMS OF HARTFORD, INC.",42973,Active
"SONITROL SECURITY SYSTEMS, INC.",42974,Merged
"SONITROL SECURITY SYSTEMS OF NEW BRITAIN, INC.",42975,Dissolved
"SONITROL SERVICES OF NEW HAVEN, INC.",42976,Forfeited
"SONITROL SECURITY SYSTEMS OF NEW HAVEN, INC.",42976,
"SONITROL SECURITY SYSTEMS OF NORWALK, INC.",42977,Merged
SONKA MOTEL CORPORATION THE,42978,Dissolved
"SONITROL SECURITY SYSTEMS OF WATERBURY, INC.",42979,Dissolved
SONLEY REALTY CORP.,42980,Forfeited
SONMAR ENTERPRISES INC.,42981,Revoked
SONNENBLICK-GOLDMAN CORP.,42982,Revoked
"SONNUM REALTY, INC.",42983,Forfeited
"SONNY'S, INC.",42984,Forfeited
"SONNY'S PLACE, INC.",42985,Forfeited
SON-WAY CORPORATION,42986,Dissolved
SONY USA INC.,42987,Withdrawn
SONY CORPORATION OF AMERICA,42987,
"SONO DANCE COMPANY, INC.",58508,Active
"SONS OF ITALY CLUB, INCORPORATED, THE",59907,Active
"SONS & DAUGHTERS OF NEVAS MUTUAL SOCIETY, INCORPORATED",59908,Forfeited
"SONS OF ITALY CLUB OF BRISTOL, INCORPORATED, THE",59909,Forfeited
"SONS OF ITALY MUTUAL AID SOCIETY OF MIDDLETOWN, INCORPORATED",59910,Forfeited
"SONS OF ZION OF PUTNAM, CONNECTICUT, INCORPORATED, THE",59911,Dissolved
"SONDIK FOUNDATION, INCORPORATED THE",62666,Active
SONS OF JACOB,64458,Active
"SONS OF JACOB CEMETERY, INCORPORATED THE",64459,Active
SONS OF ST. PATRICK'S BENEVOLENT AND BURIAL AID SOCIETY OF NEW HAVEN.,65774,Active
SONUS SALES CORPORATION,71750,Forfeited
SONUS SOUND CORPORATION,71750,
"SONDAD DISTRIBUTORS, INC.",73429,Forfeited
"SONDIK & CO., INCORPORATED (ALIAS)",75852,Merged
"SONICS & MATERIALS, INC. (CONSENT)",83945,Active
"SONMAT, INC.",83945,
"SONNIC MACHINERY, INCORPORATED",84084,Forfeited
"SONO CINEMA, INC.",86530,Forfeited
"SONNY'S MOVING & TRUCKING, INC.",87301,Forfeited
"TERRA FIRMA, INC.",89371,Active
"SONECO SERVICE,INC.",89371,
"SONECO/NORTHEASTERN, INC.",89371,
SONTEK CORPORATION,90174,Withdrawn
"CAMPBELL'S TWO, INC.",90442,Forfeited
"SONITROL SECURITY SYSTEMS OF DANBURY, INC.",90442,
"SONO DESIGN GROUP, INC.",91648,Forfeited
"S.E.I., INC.",93142,Revoked
"SONESTA ENTERPRISES, INC.",93142,
SONG HOLDINGS CORPORATION,94874,Forfeited
SONIA CHOCOLATERIE INC.,95995,Dissolved
"SONIC ENTERPRISES, INC.",97260,Revoked
"SONOCO PROTECTIVE SOLUTIONS, INC.",99453,Active
"SONIA, INC.",103039,Forfeited
"SONNY'S & BILL'S SPORTS CENTER, INC.",103696,Forfeited
"SONG HAYS EAST, INC.",108765,Forfeited
"SONITROL TELECOMMUNICATIONS OF NEW HAVEN, INC.",111274,Forfeited
"SONO VILLAGE CONDOMINIUM, INC.",111868,Active
"SONO VILLAGE, INC.",112153,Dissolved
"SON-RAY SPORTSWEAR, INC.",112837,Forfeited
"SONGANA ORCHARD, INC.",114673,Forfeited
"SONYA WETSTONE - BOOKS & CHEESE, INC.",114787,Dissolved
"SONETT SYSTEMS, INC.",115795,Forfeited
"SONITROL SECURITY SYSTEMS OF EASTERN CONNECTICUT, INC.",117252,Forfeited
"SONS OF PORTUGAL SCHOLARSHIP FUND, INC.",121654,Forfeited
"SONG OF THE SEA, INC.",123689,Merged
"SON-BURST MINISTRIES, INC.",125223,Forfeited
"GREIF FIBRE DRUM, INC.",129138,Withdrawn
"SONOCO FIBRE DRUM, INC.",129138,
SONIC SYSTEMS INC.,131504,Withdrawn
"SONI FIDELIS TRIO, INC.",136560,Forfeited
"SNET CREDIT, INC.",138144,Merged
SONECOR CREDIT CORPORATION,138144,
"SONIC SYSTEMS, INC.",138187,Active
"VOICE NEW ENGLAND, INC.",138758,Merged
SONITROL COMMUNICATIONS CORP.,138758,
"SONMAR, INC.",139425,Forfeited
"SONOSTICS OF CONNECTICUT, INC.",140179,Forfeited
"SONA ENTERPRISES, INC.",140331,Dissolved
"SONSHINE DAY CARE CENTER, INC.",142389,Active
SONO CHAMBER SINGERS COMPANY THE,144630,Forfeited
SONOMAMA IMPROVISATION DANCE THEATRE INC.,148293,Forfeited
"SNET REAL ESTATE, INC.",148362,Merged
SONECOR REAL ESTATE CORPORATION,148362,
"SONNENSCHEIN BATTERIES, INC.",148710,Revoked
"SONS OF PORTUGAL CLUB, INC.",149238,Active
WTG-CHURCH STREET CORPORATION,150547,Merged
SONECOR FIBERCOM CORPORATION,150547,
"SONO SEAPORT SEAFOOD, INC.",155060,Active
"SONO NEIGHBORHOOD ASSOCIATION, INC. THE",155441,Forfeited
"SONITROL OF CENTRAL CONNECTICUT, INC.",156595,Forfeited
SONART CORPORATION,160401,Forfeited
SONITECH CORP.,163898,Dissolved
"SNET MOBILITY, INC.",165102,Merged
"SONECOR MOBILECOM, INC.",165102,
"SONO GARAGE, INC.",165362,Dissolved
"SONNY COSTANZO - WORLD WIDE CONCERTS, INC.",165446,Dissolved
"SONOFF CONSULTING SERVICES, INC.",166493,Dissolved
SONITROL SERVICES CORPORATION,168619,Withdrawn
"COMSEC SYSTEMS OF NORTHERN NEW ENGLAND, INC.",171004,Merged
"SONITROL OF EASTERN MASS., INC.",171004,
"SONNY AND MIKE, INCORPORATED",173180,Forfeited
"SNET CELLULAR, INC.",178634,Merged
"SONECOR CELLULAR, INC.",178634,
"S.O.N. LEASING, INC.",179249,Forfeited
TELELINK CORPORATION,179397,Dissolved
SONITROL TELECOMMUNICATIONS INC.,179397,
"SON POWER PRODUCTIONS, INC.",181247,Forfeited
"COMSEC SYSTEMS OF MASS., INC.",183732,Withdrawn
"SONITROL OF CENTRAL MASS., INC.",183732,
"SONO CINEMA AND VIDEO, INC.",185765,Forfeited
"SONO YACHT SALES, INC.",187229,Forfeited
SONITROL DISTRIBUTION COMPANY,193754,Withdrawn
"SONJA'S, INC.",194932,Forfeited
SONDRA CORPORATION,196445,Forfeited
"SON RISE CONSTRUCTION, INC.",202084,Forfeited
"SONNY ROCK STABLES, INC.",206254,Forfeited
"SONICS ASSOCIATES, INC.",206692,Revoked
SONY MUSIC HOLDINGS INC.,208673,Active
SONY MUSIC ENTERTAINMENT INC.,208673,
"SONORA EAST, INC.",208990,Dissolved
"SONO GALLERY, INC.",210765,Forfeited
SONY ELECTRONICS INC.,214516,Active
SONY CORPORATION OF AMERICA,214516,
SONOSTATION CORP.,217291,Dissolved
SONOSTATION CORP.,217291,
"SONRISE FOODS, INC.",220924,Dissolved
"SONTHEIMER FOUNDATION, INC. THE",225412,Forfeited
"SONMARK SERVICES, INC.",225693,Forfeited
"SONICALL, INC.",226043,Dissolved
"SONITECH, INC.",232128,Forfeited
"SONSCO BUILDERS OF CONN., INC.",232238,Forfeited
SONGER CORPORATION,234199,Revoked
"HEAD ACOUSTICS, INC.",235871,Active
"SONIC PERCEPTIONS, INC.",235871,
"SONIC-CLEAN, INC.",237907,Forfeited
SONOCO PRODUCTS COMPANY,244309,Active
"SO. N. E. GYPSUM CONCRETE COMPANY, INC.",249141,Forfeited
"SONATA TYPOGRAPHERS, INC.",249161,Forfeited
"SONO VENTURES, INC.",249359,Forfeited
"SONO GROUP, INC. THE",249811,Active
"SONNY'S OF WATERBURY, INC.",250797,Forfeited
SONIA PLUMB DANCE COMPANY,252216,Active
"SONCOM, INC.",254904,Forfeited
SONEX CORPORATION,255548,Forfeited
SONITEK CORPORATION,256973,Active
"SONIC AND THERMAL TECHNOLOGIES, INC.",256973,
"SONNI WAY, CORPORATION",260802,Forfeited
"SONO BUSINESS ASSOCIATION, INC.",262000,Dissolved
"SONAL, INC.",282875,Active
"SONDAY SERVICES, INC.",283235,Active
"SONGHAI DOUA SCHOOL, INC.",289151,Forfeited
SONNENBLICK-GOLDMAN CORP.,292854,Withdrawn
"SONO WEST, INC.",294199,Forfeited
"SONIFI SOLUTIONS, INC.",295593,Active
"SONETTE, INC.",299084,Dissolved
"SONO GROCERY, INC.",300321,Active
SONO'S COUNTRY MARKET FOOD CORP.,301440,Active
SONY PICTURES RELEASING CORPORATION,505916,Active
"SONIC FORCE, INC.",508090,Dissolved
SONY PICTURES CLASSICS INC.,509240,Active
"SONS PROPERTY, LLC",511782,Forfeited
"SON RISE ENTERPRISES, LLC",511944,Active
"SONYA ROOS INTERIORS, INC.",519848,Dissolved
"SONCHONG REALTY, INC.",523394,Forfeited
"SONO GRAPHICS, INCORPORATED",524427,Forfeited
"SONO SQUARE ASSOCIATES, LLC",529142,Dissolved
"SONO SQUARE ASSOCIATES, LLC",530424,Active
SERVICIAL GROUP CORPORATION,531411,Active
"SONO TRAVEL, INCORPORATED",531411,
SONS OF AMERICAN LEGION SQUADRON 68 INC.,531650,Active
"SONALYSTS STUDIOS, INC.",531722,Withdrawn
SONY PICTURES HOME ENTERTAINMENT INC.,546726,Withdrawn
"SONNY O'S CAFE & GRILL, L.L.C.",546870,Forfeited
"SONWOOD, LLC",548568,Forfeited
"SO NO ENTERPRISES, LLC",549789,Active
"SONIKA, L.L.C.",552679,Dissolved
SONO ONE LIMITED PARTNERSHIP,555349,Cancelled
SONFIRE RECORDS L.L.C.,557302,Active
SONRICA L.L.C.,557531,Dissolved
"SONO COURT ASSOCIATES, LLC",560340,Active
SONO COURT ASSOCIATES LIMITED PARTNERSHIP,560374,Cancelled
SONIA ASSOCIATES LIMITED PARTNERSHIP,563349,Active
"SONRISE, INC.",563718,Active
SONY COMPUTER ENTERTAINMENT AMERICA INC.,564732,Withdrawn
SONTECH LLC,564994,Dissolved
"THE SONSHINE COMPANY, LTD.",565058,Dissolved
"SONORA'S RESTAURANT, LLC",569413,Active
"THE SONS OF THE AMERICAN LEGION, BARRY-POULTER SQUADRON 40, INC.",571668,Dissolved
"SONO BILLIARDS CLUB, LLC",575767,Dissolved
"SONNY & SON, LLC",577261,Active
SONO REALTY LLC,577552,Active
SONITEC CORP.,579903,Active
SONLIFE CHURCH,580397,Active
"SONICTONIC, LLC",583394,Active
"SONO STONE & GRAVEL, LLC",586136,Dissolved
"SONO WHARF, L.L.C.",587505,Active
"SONO PALACE PROJECT, INC.",589935,Dissolved
"SONO ENTERTAINMENT GROUP, A LIMITED LIABILITY COMPANY",593353,Dissolved
SON-BURST COMMUNICATIONS LIMITED PARTNERSHIP,593703,Active
"SONIC OIL AND GAS ASSOCIATES, LIMITED PARTNERSHIP",593706,Active
SONITROL SECURITY SYSTEMS OF BRIDGEPORT LIMITED PARTNERSHIP,593708,Active
"SONITROL OF WESTERN CONNECTICUT, LIMITED PARTNERSHIP",593711,Active
"SONITROL SECURITY SYSTEMS OF WATERBURY, LIMITED PARTNERSHIP",593711,
SONO HARBOR ASSOCIATES LIMITED PARTNERSHIP,593719,Cancelled
SONO WEST 1 LIMITED PARTNERSHIP,593720,Active
"SONOSON ASSOCIATES, LIMITED PARTNERSHIP",593722,Active
SONOSTICS EQUIPMENT LEASING LIMITED PARTNERSHIP I,593723,Active
"SON ATLANTIC MARKET, LLC",603509,Active
"SONBURN II, INC.",603836,Withdrawn
"SONO URBAN RETAIL, LLC",605610,Cancelled
"TRIO SONATA, LLC",605825,Dissolved
"SONATA TRIO, LLC",605825,
"SONYA GREEN & ASSOCIATES, LLC",607806,Active
"SONO MANUFACTURING COMPANY, INC.",609534,Active
"SONNY'S, LLC",614647,Active
"SONTAS, INC.",619987,Active
"SONDEY FAMILY, LLC",622415,Dissolved
SONOFLEX LLC,623259,Active
"SONEPAR DISTRIBUTION NEW ENGLAND, INC.",624802,Active
"SONEPAR DISTRIBUTION US, INC.",624802,
"SONER RECORDS, LLC",625309,Active
"SONNY FASHION, INC.",626750,Dissolved
"SONORA UNITED, INC.",632227,Active
"SONGLAB, LLC",632437,Dissolved
"SONO SHIPPING, LLC",636431,Dissolved
SONS SPECIALTY GAS LLC,637370,Active
"SON'S DEVELOPMENT, LLC",638608,Active
"SONIA'S DREAM CASTLE, L.L.C.",640993,Dissolved
"THE SONS OF THUNDER COALITION, INC.",642553,Active
"SONJA SHUFORD, ESQ., L.L.C.",642660,Dissolved
"SONNY'S CAFE, L.L.C",643257,Active
"SONY FINANCIAL SERVICES, LLC",650548,Cancelled
"SONOMA WINE & SPIRITS, LLC",651096,Dissolved
SONAS DESIGN INC.,652057,Active
"UPS SERVICE PARTS LOGISTICS, INC.",654557,Withdrawn
"SONICAIR, INC.",654557,
SONDHEIMER CONSULTING LLC,655813,Dissolved
"SONGFACTS, LLC",659688,Active
"SONO CORPORATE SUITES, LLC",659881,Cancelled
SONO CAPITAL LLC,660938,Active
"SONNENBRAUNE, INC.",664386,Withdrawn
"THE SONES GROUP, LLC",666192,Dissolved
SONBURN LLC,669420,Cancelled
SONO WIRELESS INC.,670929,Active
"SONG, LLC",671702,Dissolved
"SONIX4U, INC.",676462,Withdrawn
"SONGBIRD FLYERS, INC.",679536,Withdrawn
SONO ENERGY CORPORATION,681387,Active
SONO ENERGY CORP. T/A ABLE ENERGY,681387,
"SON ARC, INC.",682143,Withdrawn
"SONGLINES, LLC",683916,Dissolved
"SONO TRADING, LLC",685908,Dissolved
"SONERICA, LLC",686002,Active
"SONNY'S MARKET, LLC",686219,Active
SONO LOFTS LLC,687382,Merged
"SONOCO CORRFLEX D & P, LLC",687423,Active
"SONGBIRD ASSOCIATES, LLC",688458,Dissolved
"SONNY, LLC",690963,Active
"SONNY FIELD, LLC",691079,Dissolved
"SONNELITTER PROFESSIONAL SERVICES, LLC",691357,Dissolved
"SONOMA WOODS, LLC",695626,Dissolved
"SONO SPORTS, LLC",701823,Active
SONSINO CAPITAL LLC,702894,Active
"SONO PROPERTIES, LLC",703620,Active
SONY CORPORATE SERVICES INC.,705029,Active
"SONIC MEDIA, LLC",705951,Dissolved
SONRISE BUILDING SERVICES L.L.C.,707914,Dissolved
SONO LLC,718421,Active
SONRISA LLC,722548,Active
SON OF FEARLESS LLC,727213,Active
"SONI, LLC",728541,Dissolved
"SONSHINE CONSULTANTS, LLC",728862,Dissolved
"SONNY SIDE UP, LLC",728985,Active
SONO RENTALS LLC,730979,Active
"SONIC GOLF, L.L.C.",732871,Dissolved
"SONQUIST, LLC",735069,Dissolved
SONNENSCHEIN MANAGEMENT LLC,735620,Dissolved
"SONIC SOUND DJ SERVICE, LLC",738330,Active
"SONGBIRD LANE ASSOCIATION, INC.",739230,Dissolved
SONIC BOOM GROUP LLC,741987,Dissolved
SONO DOLLAR LLC,742448,Active
"SONO AUTO REPAIR, LLC",743002,Active
"DELTA D/B/A SONG, LLC",743719,Cancelled
"SONG AIRWAYS, LLC",743719,
"SONCO, LLC",745722,Active
"SON OF A SAILOR, LLC",746513,Active
SONNY SECURITY LLC,747439,Active
"SONO COFFEE SHOP, LLC",751079,Dissolved
SONRAJ LLC,754837,Active
"SONDRA BARBIERO, LLC",759252,Dissolved
"SONTAG FAMILY, LLC",764662,Active
"SONO LOFTS CONDOMINIUM ASSOCIATION, INC.",765168,Active
"SONOTURTLE, LLC",778250,Dissolved
"SONIC TOOL COMPANY, LLC",778598,Active
"SONOR REALTY PARTNERS, LLP",780663,Renunciated
"SONO LOFTS MASTER COMMUNITY, INC.",783066,Active
SONJA'S REAL ESTATE LLC,787566,Dissolved
SONIA'S REAL ESTATE LLC,787566,
"SONIMAX PRODUCTS, LLC",788472,Dissolved
"THE SONO BAKING COMPANY, LLC",792634,Active
"SONCY ENTERPRISES, LLC",793395,Active
"SONIA'S BEAUTY SALON, LLC",793605,Dissolved
"SON CELEBRATION, LLC",795102,Active
"SONG, LLC",796037,Cancelled
"SONICOMP, LLC",799945,Dissolved
"SONGMOVIE, LLC",804433,Dissolved
"SONICK LEARNING CENTER, LLC",807720,Active
"SONO GARDENS CONDOMINIUM, INC.",810575,Active
