Entity Type,Entity #,Entity Name,Name Type,Status
Limited Liability Company,124405,"0 JACOBSON DRIVE, JUNEAU, LLC",Legal Name,Good Standing
Limited Liability Company,122352,"11655 N. Madison Ave., LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,99967,"1215 East Madison Park, LLC",Previous Legal Name,Good Standing
Limited Liability Company,59448D,"1400 W. Benson, LLC",Legal Name,Good Standing
Name Reservation,102659,"1400 W. Benson, LLC",Legal Name,Canceled Name
Limited Liability Company,10015020,"1742 Addison, L.L.C.",Legal Name,Good Standing
Limited Liability Company,10112382,1921 Richardson LLC,Legal Name,Good Standing
Business Corporation,123541,202 Hudson Corporation,Legal Name,Voluntarily Dissolved
Limited Liability Company,10037436,2100 Paxson LLC,Legal Name,Good Standing
Limited Liability Company,106948,"27349 Jefferson Ave., LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,10004864,"2800 Moose Wilson, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,10030558,"2805 Dawson Street, LLC",Legal Name,Good Standing
Limited Liability Company,10016085,"3153 Hudson, LLC",Legal Name,Good Standing
Limited Liability Company,10004637,36860 NORTHEAST WILSONVILLE ROAD LLC,Legal Name,Good Standing
Limited Liability Company,10115304,"3811 Erickson, LLC",Legal Name,Good Standing
Business Corporation,64523D,"4 C SONS, INC.",Legal Name,Good Standing
Business Name Registration,113471,4 Seasons Alaska Adventure,Legal Name,Canceled Name
Nonprofit Corporation,92647,4 Seasons Arena,Legal Name,Involuntarily Dissolved
Limited Liability Company,96930,"4 Seasons Consulting, LLC",Legal Name,Good Standing
Limited Liability Company,124607,4 Seasons Outfitters LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,10036289,4 SEASONS PROPERTY MAINTENANCE LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,76846D,4 SEASONS REAL ESTATE LLC,Legal Name,Involuntarily Dissolved
Business Name Registration,31905,4-SEASON'S STORAGE,Legal Name,Expired Name
Limited Liability Company,135633,4026 Parsons LLC,Legal Name,Good Standing
Limited Liability Company,10062744,"4500 Jefferson St NE, MN property, LLC",Legal Name,Good Standing
Limited Liability Company,10011141,"4626 Thompson, LLC",Legal Name,Involuntarily Dissolved
Limited Liability Company,10040303,"5 Johnsons, LLC",Legal Name,Good Standing
Limited Liability Company,10013114,"6 Days On The Road, LLC",Legal Name,Voluntarily Dissolved
Business Name Registration,10020256,A BODY IN BALANCE PERSONAL TRAINING,Legal Name,Expired Name
Business Corporation,10024371,"A-Son's Construction, Inc.",Legal Name,Revoked
Limited Liability Company,102761,"A. Davidson, LLC",Legal Name,Good Standing
Business Corporation,6647H,"A. M. & SONS, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,60807F,"A. R. WATSON USA, LLC",Legal Name,Withdrawn
Business Corporation,98828,"A.C. Schommer & Sons, Inc.",Legal Name,Good Standing
Limited Liability Company,95374,"A.G. Edwards & Sons, Inc.",Previous Legal Name,Good Standing
Limited Liability Company,95374,"A.G. Edwards & Sons, LLC",Legal Name,Good Standing
Professional Corporation,81971D,"AARON P. JOHNSON, M.D., PC",Legal Name,Involuntarily Dissolved
Business Corporation,36101D,AC & SONS CORPORATION,Legal Name,Voluntarily Dissolved
Name Reservation,10105776,"Acacia Johnson, LLC",Legal Name,Canceled Name
Limited Liability Company,10105807,"Acacia Johnson, LLC",Legal Name,Good Standing
Business Corporation,118161,"Access One, Inc.",Legal Name,Good Standing
Business Corporation,10071739,"ACCESSONE MEDCARD, INC.",Legal Name,Good Standing
Limited Liability Company,10041244,"Acme & Sons, LLC",Legal Name,Good Standing
Business Corporation,7751H,"ACME MASONRY, INC.",Legal Name,Involuntarily Dissolved
Business Name Registration,100872,Act 1 Personnel Services,Legal Name,Expired Name
Limited Liability Company,99873,"Action Jackson Charters, LLC",Legal Name,Involuntarily Dissolved
Business Corporation,70323D,"ACTION JACKSON, INC.",Legal Name,Involuntarily Dissolved
Business Corporation,66539F,ACUSON CORPORATION,Legal Name,Revoked
Business Corporation,103612,"Adamson Appraisal Service, Inc.",Legal Name,Involuntarily Dissolved
Limited Liability Company,10025497,"ADAMSON RENTALS, LLC",Legal Name,Good Standing
Business Corporation,110301,"Addison Bay Insurance Brokers, LTD.",Legal Name,Withdrawn
Limited Liability Company,10083480,Addison Hanna Gallery LLC,Legal Name,Good Standing
Limited Liability Company,77502D,"ADDISON NUMBER ONE, LLC",Legal Name,Voluntarily Dissolved
Business Corporation,64524D,ADDISON PREMIUM FINANCE COMPANY,Legal Name,Involuntarily Dissolved
Limited Liability Company,116386,"ADDISON REAL ESTATE, LLC",Legal Name,Involuntarily Dissolved
Business Corporation,101580,"Addison York Insurance Brokers, Ltd.",Legal Name,Withdrawn
Limited Liability Company,10108858,Adrienne Johnson ANP/FNP-BC LLC,Legal Name,Good Standing
Business Corporation,10030962,"Advanced Medical Personnel Services, Inc.",Legal Name,Good Standing
Business Corporation,97996,"Advanced Sonograms of Alaska, Inc.",Legal Name,Good Standing
Limited Liability Company,10039871,"AES Personal Management, LLC",Legal Name,Good Standing
Limited Liability Company,10110471,"Ahimsa Edison, LLC",Legal Name,Good Standing
Limited Liability Company,10044087,"Ahtna Mile 115 Richardson Highway, LLC",Legal Name,Good Standing
Business Corporation,10011293,"AIRGAS ON-SITE SAFETY SERVICES, INC.",Previous Legal Name,Good Standing
Business Name Registration,30087,AIRLINES ONLINE,Legal Name,Expired Name
Business Name Registration,30104,AIRLINES ONLINE TRAVEL,Legal Name,Expired Name
Business Corporation,56691D,"AIRLINES-ONLINE & TRAVEL SERVICES NETWORK, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,10063087,"AK Anderson Investments, LLC",Legal Name,Voluntarily Dissolved
Limited Liability Company,10016747,AK Dwight & Sons L.L.C.,Legal Name,Involuntarily Dissolved
Limited Liability Company,10062085,AkLogFather&Son L.L.C,Legal Name,Good Standing
Limited Liability Company,10014639,AKSONICS LLC,Legal Name,Involuntarily Dissolved
Business Corporation,19686D,"AL ANDERSON ENTERPRISES, INC.",Legal Name,Good Standing
Business Corporation,52694D,"AL GAGNON & SONS, INC.",Legal Name,Voluntarily Dissolved
Business Corporation,72571D,"AL GAGNON & SONS, INC.",Legal Name,Voluntarily Dissolved
Limited Liability Company,122103,"ALA Harrison, LLC",Legal Name,Voluntarily Dissolved
Limited Liability Company,109211,ALANSON VENTURES LLC,Legal Name,Involuntarily Dissolved
Limited Liability Company,10097260,"Alaska 4 Seasons Fishing Guides, LLC",Legal Name,Good Standing
Name Reservation,10020430,"Alaska All Seasons Adventures, LLC",Legal Name,Canceled Name
Limited Liability Company,10020749,"Alaska All Seasons Adventures, LLC",Legal Name,Involuntarily Dissolved
Business Name Registration,29584,ALASKA ALLSEASON TOURS,Legal Name,Expired Name
Limited Liability Company,110471,Alaska Andersons LLC,Legal Name,Involuntarily Dissolved
Nonprofit Corporation,10070943,Alaska Association for Personal Care Supports Inc.,Legal Name,Good Standing
Nonprofit Corporation,31894D,ALASKA ASSOCIATION OF FIRE AND ARSON INVESTIGATORS,Legal Name,Good Standing
Business Corporation,10079818,"ALASKA BISON BUS, INC",Legal Name,Good Standing
Business Corporation,11009H,"ALASKA CONSTRUCTION & UTILITY LIAISON CENTER, INC.",Legal Name,Involuntarily Dissolved
Limited Liability Company,88504F,"ALASKA CONSUMER DIRECT PERSONAL CARE, LLC",Legal Name,Good Standing
Business Corporation,7182H,ALASKA EDISON ELECTRIC CORP.,Legal Name,Involuntarily Dissolved
Business Corporation,59763D,"ALASKA FAMILY SONOGRAMS, INC.",Legal Name,Good Standing
