Name	Record Type	File Number	Status [More info]
1 REASON REDEVELOPMENT GROUP	Cross Reference 1	196428 C6	1
1402 ATKINSON, LLC	Entity	136848 C5	Active
1420 AM, KKEA SPORTS AND TALK RADIO (& DESIGN OF A PERSON WEARING A MAILE LEI AND BLOWING A CONCH SHELL)	Pending Filing	13357244 T8	Expired
1420 AM KKEA SPORTS AND TALK RADIO (& DESIGN OF A PERSON WEARING A MAILE LEI BLOWING A CONCH SHELL)	Service Mark	9025 C5	Expired
1ST CHOICE MASONRY	Cross Reference 1	115519 D1	Inv. Dissolved
2 PERSON TOURS	Trade Name X-Ref 1	379172 ZZ	Expired
2 SONS BARBER SHOP LLC	Entity	219579 C5	Active
221 BRONSON STREET HO'OPUKA LLC	Entity	61530 C5	Terminated
265 NORTH ADDISON LLC	Entity	105357 C5	1
2ND SEASON	Trade Name X-Ref 1	451343 ZZ	Active
3 J'S & SON'S LLC	Entity	53088 C5	Adm. Terminated
3 SONS ENTERPRISE	Cross Reference 1	48559 F1	Active
3328 WILSON PLACE HO'OPUKA LLC	Entity	57255 C5	Active
3RD PERSON LLC	Cross Reference 1	56660 C5	Adm. Terminated
3RD PERSON PRODUCTIONS LLC	Cross Reference 1	173311 C5	1
4 SEASON FIT LLC	Cross Reference 1	163424 C5	Active
4 SEASONS 4 PAWS L.L.C.	Entity	54875 C5	Adm. Terminated
4 SEASON'S FOODS	Trade Name	339753 ZZ	Expired
4 SEASONS GIFTS	Trade Name X-Ref 1	66830 ZZ	Expired
4 SEASONS INTERNATIONAL REALTY LLC	Cross Reference 1	165924 C5	Active
4 SEASONS MERCHANDISING	Trade Name X-Ref 1	26722 D1	Expired
4-SEASONS MOBILE TAX BOOKKEEPING SERVICES	Trade Name	106694 ZZ	Expired
4 SEASONS OAHU FOUNDERS CLUB LLC	Cross Reference 1	123740 C5	1
4 SEASONS PARADISE TOURS, INC.	Cross Reference 1	236861 D1	Active
4 SEASONS PROPERTY MANAGEMENT LLC	Cross Reference 1	165885 C5	Terminated
4 SEASONS RESORT LANA`I AT MANELE BAY	Trade Name X-Ref 1	6495 C5	Active
4 SEASONS RESORT LANA'I, THE LODGE AT KOELE	Trade Name X-Ref 1	6495 C5	Active
4 SEASONS SPECIALTY PRODUCTS	Trade Name	198332 ZZ	Expired
4 SEASONS THAI THERAPY LLC	Cross Reference 1	173836 C5	Active
4 SEASONS TOURS	Trade Name X-Ref 1	350546 ZZ	Expired
4 SEASONS TRADING COMPANY	Pending Filing	222423 T8	Held
4 SONS HOMES, LLC	Entity	56092 C5	Adm. Terminated
4 SONS, LLC	Entity	149958 C5	Active
401 ATKINSON LLC	Entity	58779 C5	Terminated
410 ATKINSON 1361	Trade Name	324622 ZZ	Expired
410 ATKINSON #3002 LLC	Entity	170717 C5	Active
410 ATKINSON DR. #3123, LLC	Entity	93768 C5	Active
4301 SONOMA, LLC	Entity	199245 C5	Terminated
475 ATKINSON, LLC	Entity	83251 C5	Adm. Terminated
4C'S SONS LLC	Entity	132162 C5	Active
6069 CORSON - SABAN LLC	Entity	207986 C5	Active
630 JOHNSON LLP	Pending Filing	11247165 T8	Expired
7 BROTHERS MASONRY AND LANDSCAPING LLC	Cross Reference 1	174882 C5	1
7 SONS HANDYMAN SERVICES	Trade Name X-Ref 1	357210 ZZ	Expired
8 MASONS INC.	Entity	235597 D1	Dissolved
8 PACIFIC MASON	Trade Name	368181 ZZ	Expired
8 PACIFIC MASON LLC	Entity	174922 C5	1
808 ROCK MASONARY	Trade Name	457180 ZZ	Active
808 STONE MASON LLC	Entity	227523 C5	Active
A.A. MASONRY	Trade Name	164625 ZZ	Expired
A. A. MASONRY	Trade Name	151326 ZZ	Expired
A. A. MASONRY	Trade Name	303780 ZZ	Expired
A & A PERSONALIZED ENGRAVING	Trade Name	173212 ZZ	Expired
A. AMARAL MASONRY LLC	Cross Reference 1	140398 C5	1
A AND D ELLISON ENTERPRISES, LLC	Entity	55710 C5	Terminated
A AND J SEASONAL CREATIONS AND DESIGNS	Trade Name X-Ref 1	372751 ZZ	Expired
A. BRODERSON LANDSCAPE CO.	Trade Name X-Ref 1	356253 ZZ	Expired
A BUSINESS LOGO FOR MY SOLO LAW PRACTICE DESIGNED BY MY SON	Pending Filing	13125706 T8	Expired
A C & SON DETAILING	Trade Name	202408 ZZ	Expired
A C & SON DETAILING	Trade Name	178093 ZZ	Expired
A.D. SUTTON & SONS, INC.	Cross Reference 1	94974 F1	Active
A DESIGN. LOGO LOOKS LIKE A CROWN WITH THREE DIAMONDS, BUT IT IS ACTUALLY TWO PEOPLE PRAYING, LAYING HANDS ON THE MIDDLE PERSON.	Pending Filing	13752041 T8	Expired
A. G. EDWARDS & SONS, INC.	Entity	18824 F1	Withdrawn
A. G. EDWARDS & SONS, INC.	Pending Filing	311296 T8	Expired
A. G. EDWARDS & SONS, LLC	Entity	59062 C6	Cancelled
A HONU WAVE BODY BOARDING LESSONS LIMITED LIABILITY COMPANY	Entity	172244 C5	Nm. Chg.
A&J HARDISON EXCAVATION AND CONSTRUCTION, LLC	Entity	211465 C6	Active
A. J. LOPEZ SONS, INC.	Cross Reference 1	12780 D1	Active
A J MARGERISON & ASSOCIATES LLC	Cross Reference 1	53374 C5	Terminated
A&J SEASONAL CREATIONS AND DESIGNS	Trade Name	372751 ZZ	Expired
A. J. WEST AND SON CONSTRUCTION, LTD.	Cross Reference 1	55010 D1	Active
A JESUS/SCIENCE LESSON?	Trade Name	363760 ZZ	Expired
A LITTLE WILSON PRODUCTIONS, INC.	Entity	98440 F1	Active
A. NELSON, INC.	Cross Reference 1	8232 D1	2
A NEW SEASON	Trade Name	105283 D1	Expired
A NEW SEASON	Trade Name	113416 D1	Expired
A NEW SEASON	Trade Name	113416 D1	Expired
A PERSONAL LINE OF CREDIT PRODUCT WITH EASY ACCESS TO FUNDS WHEN NEEDED VIA LINE CHECKS, PERSONAL CHECKING ACCOUNT OR DEBIT/CHECK CARD	Pending Filing	12071572 T8	Expired
A PERSONAL TOUCH DRY CLEANING	Trade Name	36818 F1	Expired
A PERSONAL TOUCH DRY CLEANING	Trade Name	77271 D1	Expired
A PERSONAL TOUCH, INC.	Entity	97103 D1	Inv. Dissolved
A R AND SONS CLEANING SERVICES LLC	Cross Reference 1	200428 C5	Active
A & R QUALITY MASONRY	Trade Name	324246 ZZ	Cancelled
A SING A SONG LLC	Cross Reference 1	122982 C5	1
A-SON'S CONSTRUCTION, INC. DBA ASONS PROPERTY PRESERVATION SPECIALIST	Entity	47370 F1	1
A-SONSHINE BAIL BONDS, INC.	Entity	234043 D1	Inv. Dissolved
A+ SURF LESSONS LLC	Entity	204594 C5	Nm. Chg.
A TRUSTED SERIOUS PERSONAL INJURY LAWYER	Trade Name	33510 C5	Expired
A.V. MASONRY	Trade Name	222999 ZZ	Expired
A.V. MASONRY	Trade Name	363241 ZZ	Expired
AAA AFFORDABLE LOCKSMITH & SONS	Trade Name	90596 D1	Expired
AAA DRYWALL & MASONRY	Trade Name	305528 ZZ	Cancelled
