Entity Name,ID Number,NAICS,Inactive status
"BABA'S FIRST DAUGHTER, LLC",1663734,722513,
Daughters Construction Company LLC,157552,,Revoked Entity
Daughters of Esther,840168,813110,Revocation Notice
Daughters of Naomi,144553,813110,
Daughters of Ondo Organization of U.S.A.,66234,,Revoked Entity
"DAUGHTERS OF ST. MARY OF PROVIDENCE, INC.",23291,,Withdrawn
"Daughters of the British Empire in the State ofRhode Island and Providence Plantations,Incorporated",88486,,Revoked Entity
DAUGHTERS OF THE HEATHER,26077,,Revoked Entity
"Rhode Island Daughter For Hire, LLC",1699942,,
The Daughters of Deborah Ministries,141177,,Revoked Entity
The Farmer's Daughter,53248,444220,
"THE FARMER'S DAUGHTER, LLC",159256,444220,
