Num,Name,Abbreviation,Status, estimate ,son,daughter,Daughter_search,Son_search,Comments,conservative_flag
1,Alabama,AL,Gaurav did,7,884,126,,,"AL returns at max. 1000 results. Results for son(s) are over a 1000. But when you apply regex to the 1,000, 884 come up as true positive. So the most conservative son:daughter ratio is 4.",Yes
2,Alaska,AK,Done,11,246,22,I copy pasted and did regex,Gaurav grabbed data with selenium. I did estimates and cleaning in R,,
3,Arizona,AZ,Can't be Done,,,,163 companies in 9 pages - need spider,Your Search Criteria returns 43783 results which is more than 500 results. Need to figure out how to get 500 son and then spider,Need to figure out how to create customized URL to use rvest - help!,
4,Arkansas,AR,Done,17,1482,87,"91 records found, copied into csv. ",Gaurav pulled with rvest loop and I calculated,,
5,California,CA,Gaurav did,24,3609,150,,,CA returns a max. of 500 results. But it gives you total results (3609 vs. 150). We download the 500 results for son(s) and apply the regex. 499 come up as true positive. So the most conservative son:daughter ratio is 24.,Yes
6,Colorado,CO,Can't be Done,,,,Need spider - Found 309 matching record(s).  Viewing page 1 of 16.,Only works with searches of 500 or less results so need to trim/hack. Results in 30 pages so need spider,I do get URL to crawl but get nothing in R. not sure why? See R for code and links.,
7,Connecticut,CT,Done,20,875,43,Found 27 with DAUGHTER* & 19 with *DAUGHTER. Copied easily to CSV,Found 679 with son* and 2954 with *son. Was able to relatively easy copy/paste in xls and then dedup in R,,
8,Delaware,DE,Can't be Done,,,,Found 33 and are in csv ready for regex,Only gives 50 results per search so I got 100 (son & sons) search. I can't hack more results,CAUTION: Use carefuly since son is super under represented. I Just can't get more than 50 searches of son. 24/33 was result. Don't use cause misleading,
9,Florida,FL,Done,4,729,176,9 links parsed with spider,100+ links parsed with spider,horrible excercse since links have to be hard coded. Use with CAUTION since only searches that start with daughter and son were allowed. Couldn't search for *daughter or *son unfortunately. Results are very partial.,Yes
10,Georgia,GA,Done,12,6002,497,Walter copy/pasted 516 rows from 21 screens,Gaurav pulled with selenium ,,
11,Hawaii,HI,Gaurav did,17,1454,88,,,"HI returns a max. of 300 results. But it gives you total results (10,641 vs. 88). We download the 300 results for son(s) and apply the regex. 41 come up as true positive. So adjusted estimate = (41/300)*10,641 = 1454. The most conservative son:daughter ratio is 17.",Yes
12,Idaho,ID,Gaurav did,2,60,39,,,regex used: .*_son(s)_.* and .*_daughter(s)_.*,
13,Illinois,IL,Done,48,2324,48,Walter copy/pasted from search,Gaurav did selenium ,,
14,Indiana,IN,Done,25,4928,195,I copy pasted from 8 pages,Gaurav pulled with selenium and I calculated,,
15,Iowa,IA,Blocked,,,,Could copy/paste but spider would be better - Results 1 - 25 of 74,"son capped at 1000 results, sons capped at 1000 resuts. Need Spider - Results 1 - 25 of 1000",Blocked. URLs are customized but randomly so don't know how to iterate withouth having to copy paste all of them. Tried one of the links in R and failed anyway. Walter can do it with lots of copy/pastes if there is not another option?,
16,Kansas,KS,Done,5,75,14,"15 records found, easily copied to csv",results capped at 400 so searched for son and sons and rbind - 450-ish (need to dedup before regex),,Yes
17,Kentucky,KY,Done,4,66,16,"17 rows found, copied to csv","only allows 250 results and requires 4 characters. Sons return 75, ""son "" returns 249 so I rbind (324) them and them dedup before estimate",,Yes
18,Louisiana,LA,Can't be Done,,,,"250 in 10 pages, need spider","Capped at 250 in 10 pages, need spider",This is very odd and wouldn't use it and caveat heavily. Search results are limited to 250 results and there are 250 with daugther and 250 for son so ratio is 1 but who knows what else exists is Louisiana,
19,Maine,ME,Can't be Done,,,,53 found and copied to csv,Results capped at 100. So got 100 sons and 100 son then rbind and then dedup,45/52 was ratio but it's wrong since son is underrepresented,
20,Maryland,MD,Done,2,128,82,"84 rows found, easily copied to csv","capped at 400, so rbind 400 son and 172 sons, then dedup",,Yes
21,Massachusetts,MA,Done,41,5979,147,"Using ""full text"" search found 29 daugther and 119 daughters records. Removed empty lines and dedup","Using ""full text"" search found 2154 son and 3902 sons records. Removed emplty lines and dedup.",,
22,Michigan,MI,Gaurav did,24,2265,93,,,,
23,Minnesota,MN,Done,2,392,213,Generated 8 links with all combos based on search parameters and then did spider. Deduped before extraction of word. Could have also used the csv I copy/pasted since results are not capped,Generated 8 links with all combos based on search parameters and then did spider. Deduped before extraction of word. Each search is capped at 500 so careful due to underrepresentation,son is underrepresented due to search cap so careful,Yes
24,Mississippi,MS,Done,12,1918,165,22 anyword == daughter + 143 anyword == daughters,752 anyword == son + 1166 anyword == sons,Search gives counts with exact match so I just added it. But can't bring to R to do regex or dedup without spider and don't get a frinedly URL,
25,Missouri,MO,Blocked,,,,439 found but format is horrible to copy and paste and need spider,Capped at 1854 but need to do regex and can't get url to spider,"Horrible output format and can't customize URL for rvest. @Gaurav, can you scrap or I can try and do many copy/pastes?",
