Entity Name,ID Number,Old ID Number
"ANNA & DAUGHTER, INC.",262336964,
,,
ATTLEBORO CHAPTER OF THE DAUGHTER OF AM. REVOLUTION*,1915,
,,
"BAKER'S DAUGHTER, INC., THE",42843651,211742
,,
BONOLLO & DAUGHTER DISPOSAL LLC,1306196,
,,
"CAPTAIN'S DAUGHTER, INC., THE",59853,
,,
"DANNY'S DAUGHTER AND SON T.V. & APPLIANCES, INC.",1280157,
,,
DAUGHTER AND MOM LLC,471276789,
,,
"DAUGHTER FOR A DAY, INC.",929716,
,,
"DUMPLING DAUGHTER, INC.",1310105,
,,
DUTIFUL DAUGHTER MASSACHUSETTS LLC,472217965,
,,
EVENTS BY SHARON'S DAUGHTER LLC,924935,
,,
"FATHER-DAUGHTER, LLC",1246306,
,,
FISHERMAN'S DAUGHTER LLC,1302090,
,,
"FRANCIS N. CARTER AND DAUGHTER INSURANCE AGENCY,INC.",140544,
,,
GENERAL ISREAL PUTNAM CHAPTER DAUGHTER OF AM. REV. INC. *,46087738,13595
,,
"GEORGE A. SLADDIN & DAUGHTER, INC.",42929874,243850
,,
GLASS DAUGHTER INC,1251590,
,,
"HELEN TOLIDIS & DAUGHTER, INC.",42545132,
,,
"LEMBERG, SON & DAUGHTER, LLC",203099197,900014
,,
"O'CONNOR DAUGHTER & SONS' CONSTRUCTION CO., INC.",889744,
,,
"ONLY DAUGHTER, LLC",970585,
,,
"PROBINSKY AND DAUGHTER,INC.",157074,
,,
"ROCK COLLECTOR'S DAUGHTER, LLC",1287570,
,,
"SOMEONE'S DAUGHTER, LLC",1398770,
,,
THE CARPENTER'S DAUGHTER LLC,1228918,
,,
"THE COOKIE LADY'S DAUGHTER, LLC",1351261,
,,
THE FARMER'S DAUGHTER LLC,455392140,
,,
THE KINGS DAUGHTER MINISTRY INC,1159057,
,,
"VELLECA AND DAUGHTER LANDSCAPING, INC.",1101004,
,,
"3 DAUGHTERS JEWELRY, INC.",1316657,
,,
"ABIGAIL BATCHELLER CHAPTER, DAUGHTERS OF THE AMERICAN REV.IN",777998952,
,,
"AHLIN AND DAUGHTERS TRUCKING, INC.",216447,
,,
"B.B. GELBER & DAUGHTERS, LLC",864402,
,,
"BETTY ALLEN CHAPTER OF THE DAUGHTERS OF THE AMERICAN REVOLUTION, INC.",30058942,2200
,,
"BOSTON TEA PARTY CHAPTER OF THE NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION, INC.",43171592,
,,
"BRIE AND DAUGHTERS, LLC",1262944,
,,
"C. MAYHEW AND DAUGHTERS, INCORPORATED",42754985,180620
,,
"CAHILL AND DAUGHTERS INSURANCE AGENCY, INC.",806452,
,,
"CIAMPA & DAUGHTERS FUEL CO., INC.",43229958,422252
,,
