Business ID,Business Name,Name Type,Entity Type,Principal Office Address,Registered Agent Name,Status
2015110500834,2 DAUGHTERS DESIGNS,RESERVED NAME,,"4148 E 650 N, MARION, IN, 46952, USA",,Expired
201705111195341,3 DAUGHTERS REALTY LLC,LEGAL NAME,Domestic Limited Liability Company,"4852 North Morristown Road, Shelbyville, IN, 46176, USA",Steven J. Crouse,Active
2012100200768,"4 DAUGHTERS DIRT, LLC",LEGAL NAME,Domestic Limited Liability Company,"9366 W 900 S, Waldron, IN, 46182, USA",DWAIN KUHN,Active
2006032200101,"4 DAUGHTERS FARMS, LLC",LEGAL NAME,Domestic Limited Liability Company,"9366 W 900 S, WALDRON, IN, 46182, USA",DWAIN KUHN,Active
2015031800719,5 DAUGHTERS BROADCASTING INC.,LEGAL NAME,Domestic For-Profit Corporation,"722 EAST CENTER STREET, WARSAW, IN, 46580, USA",BRIAN WALSH,Active
2015021300015,5 DAUGHTERS LLC,LEGAL NAME,Domestic Limited Liability Company,"713 S Ravencrest ave, Bloomington, IN, 47401, USA",JOHN E. TURNER,Active
2000120500150,"A & A DAUGHTERS, LLC",LEGAL NAME,Domestic Limited Liability Company,NONE,ANDY BARBER,Admin Dissolved
2007062000263,"AHEPA-DAUGHTERS OF PENELOPE DISTRICT #12 FOUNDATION, INC.",LEGAL NAME,Domestic Nonprofit Corporation,"P.O. Box 1003, Schererville, IN, 46375, USA",Matthew R Kochevar,Active
2016031400019,ANDREA'S DAUGHTERS,RESERVED NAME,,"727 JUNIPER PLACE, SOUTH BEND, IN, 46619, USA",,Expired
201904161317119,AURORA AND DAUGHTERS TRUCKING LLC,LEGAL NAME,Domestic Limited Liability Company,"960 Michigan Street, Hammond, IN, 46320, USA",Aurora Munoz,Active
2009042800745,BEAUTIFUL DAUGHTERS OF ZION CORPORATION,LEGAL NAME,Domestic Nonprofit Corporation,"PO BOX 269485, INDIANAPOLIS, IN, 46226, USA",JOYCE N AVERY,Admin Dissolved
2014082200018,BETTY'S DAUGHTER'S CATERING LLC,LEGAL NAME,Domestic Limited Liability Company,"1210 Jackson Street, Jasper, IN, 47546, USA",BETH BROWNING,Active
2011060700632,BRIAN BURNETTE & DAUGHTERS LLC,LEGAL NAME,Domestic Limited Liability Company,"1014 NORTH WEBSTER, KOKOMO, IN, 46901, USA",BRIAN KELLY BURNETTE,Admin Dissolved
LP97120130,"BROWN & DAUGHTER, L.P.",LEGAL NAME,Domestic Limited Partnership,"12804 Covered Bridge Road, Sellersburg, IN, 47172, USA",BETTY BROWN MORGAN,Active
201903011307790,BURCH AND DAUGHTERS PHOTOGRAPHY,ASSUMED BUSINESS NAME,Domestic Limited Liability Company,"9773 East Dobson Road, Bloomfield, IN, 47424, USA",Clinton Burch,Active
201903011307790,"BURCH AND DAUGHTERS, L.L.C.",LEGAL NAME,Domestic Limited Liability Company,"9773 East Dobson Road, Bloomfield, IN, 47424, USA",Clinton Burch,Active
1996081057,"C & T MARSHALL AND DAUGHTERS, INC.",LEGAL NAME,Domestic For-Profit Corporation,"550 N. FAIRVIEW, KENDALLVILLE, IN, 46755, USA",MICHAEL M. YODER,Admin Dissolved
2016040400032,C.J. RAY AND DAUGHTERS TRANSPORT LLC,LEGAL NAME,Domestic Limited Liability Company,"900 lincolnway east, Goshen, IN, 46526 - 4219, USA",JOHN WILLIAMS RAY JR,Active
1997081551,"CARR & DAUGHTERS, INCORPORATED",LEGAL NAME,Domestic For-Profit Corporation,NONE,Herbert H. Carr Jr.,Admin Dissolved
2013022500424,"CHANNING DAUGHTERS WINERY, LLC",FOREIGN LEGAL NAME,Foreign Limited Liability Company,"1928 SCUTTLEHOLE RD, BRIDGEHAMPTON, NY, 11932, USA","INCORP SERVICES, INC.",Active
197705-299,CRESCENT TEMPLE 13 OF MYSTIC SHRINE & DAUGHTERS OF SPHINX,LEGAL NAME,Domestic Nonprofit Corporation,"1600 Penn. St, GARY, IN, 46407, USA",JAMES BRITTON,Admin Dissolved
2012102400048,D. JAMES KAIN & DAUGHTERS LLC,LEGAL NAME,Domestic Limited Liability Company,"PO BOX 56, ORLAND, IN, 46776, USA","SCHWARZ LAW OFFICE, PC",Active
201909041344153,DAD AND DAUGHTER HANDYMAN SERVICES LLC,LEGAL NAME,Domestic Limited Liability Company,"215 W. 8th St., PO Box 323, Matthews, IN, 46957, USA",Gary L Moore,Active
2012031500436,DAUGHTER CAREGIVER NETWORK INC,FOREIGN LEGAL NAME,Foreign Nonprofit Corporation,"5503 N ALTON AVE, INDIANAPOLIS, IN, 46228, USA",PAULETTE SANKOFA,Revoked
2007041800191,DAUGHTER OF THE KING,ASSUMED BUSINESS NAME,Domestic For-Profit Corporation,"3191 MEDICAL CENTER DR, 38204, MCKINNEY, TX, 75069, USA",INGRID LOWE,Admin Cancelled
2007092400023,DAUGHTERS DESTINY INC.,LEGAL NAME,Domestic Nonprofit Corporation,"5407 South 250 West, North Judson, IN, 46366, USA",Michelle Barnhart,Admin Dissolved
LP98010026,DAUGHTERS FAMILY LIMITED PARTNERSHIP #1,LEGAL NAME,Domestic Limited Partnership,"8831 Otter Cove Circle, INDPLS, IN, 46236, USA",Michael Lee Daughters,Admin Dissolved
2007030200054,"DAUGHTER'S INSPIRATIONS, LLC",LEGAL NAME,Domestic Limited Liability Company,"1309 NORTH MERIDIAN STREET, PORTLAND, IN, 47371, USA",NANCY I. DENNIS,Admin Dissolved
2009033101057,"DAUGHTERS OF ASCLEPIUS, LLC",LEGAL NAME,Domestic Limited Liability Company,"PO BOX 44717, INDIANAPOLIS, IN, 46244 - 0717, USA",JENNIFER JORDAN CHARNOV,Admin Dissolved
2007051500064,DAUGHTERS OF CARMEL LLC,LEGAL NAME,Domestic Limited Liability Company,"4201 HO LANE, TERRE HAUTE, NV, 47802, USA",PABLITO DELACRUZ,Active
198408-180,DAUGHTERS OF CHARITY HEALTH INFORMATION SYSTEMS INC,FORMER NAME,Domestic Nonprofit Corporation,"3700 Washington, EVANSVILLE, IN, 47750 - 0002, USA",Corbett L. Alley,Merged
198401-133,DAUGHTERS OF CHARITY HEALTH SYSTEM EAST CENTRAL INCORPORATED,FORMER NAME,Domestic Nonprofit Corporation,"9400 New Harmony Rd., EVANSVILLE, IN, 47720, USA",CT CORPORATION SYSTEM,Voluntarily Dissolved
198408-180,"DAUGHTERS OF CHARITY INFORMATION SERVICES, INC.",LEGAL NAME,Domestic Nonprofit Corporation,"3700 Washington, EVANSVILLE, IN, 47750 - 0002, USA",Corbett L. Alley,Merged
2011062000191,DAUGHTERS OF CHARITY MINISTRIES,FORMER NAME,Foreign Nonprofit Corporation,"4330 OLIVE STREET, SAINT LOUIS, MO, 63108, USA",C T CORPORATION SYSTEM,Active
2011062000191,"DAUGHTERS OF CHARITY MINISTRIES, INC.",FOREIGN LEGAL NAME,Foreign Nonprofit Corporation,"4330 OLIVE STREET, SAINT LOUIS, MO, 63108, USA",C T CORPORATION SYSTEM,Active
2011062000191,"DAUGHTERS OF CHARITY MINISTRIES, INC.",FORMER NAME,Foreign Nonprofit Corporation,"4330 OLIVE STREET, SAINT LOUIS, MO, 63108, USA",C T CORPORATION SYSTEM,Active
1997091210,"DAUGHTERS OF CHARITY NATIONAL HEALTH SYSTEM, INC.",FOREIGN LEGAL NAME,Foreign Nonprofit Corporation,"4600 Edmundson Rd., ST. LOUIS, MO, 63134, USA","Hall, Render, Killian Heath & Lyman",Withdrawn
198401-133,"DAUGHTERS OF CHARITY NATIONAL HEALTH SYSTEM-EAST CENTRAL, IN",FORMER NAME,Domestic Nonprofit Corporation,"9400 New Harmony Rd., EVANSVILLE, IN, 47720, USA",CT CORPORATION SYSTEM,Voluntarily Dissolved
197105-531,DAUGHTERS OF CHARITY OF ST VINCENT DE PAUL OF IND,FORMER NAME,Domestic Nonprofit Corporation,"9400 NEW HARMONY RD, EVANSVILLE, IN, 47720, USA",SISTER HONORA REMES,Merged
197105-531,"DAUGHTERS OF CHARITY OF ST. VINCENT DE PAUL OF INDIANA, INC.",LEGAL NAME,Domestic Nonprofit Corporation,"9400 NEW HARMONY RD, EVANSVILLE, IN, 47720, USA",SISTER HONORA REMES,Merged
198408-180,"DAUGHTERS OF CHARITY REGIONAL INFORMATION SERVICES, INC.",FORMER NAME,Domestic Nonprofit Corporation,"3700 Washington, EVANSVILLE, IN, 47750 - 0002, USA",Corbett L. Alley,Merged
2007041100253,"DAUGHTERS OF CHRIST, INCORPORATED",LEGAL NAME,Domestic Nonprofit Corporation,"1909 W. 86TH LANE, MERRILLVILLE, IN, 46410, USA",CHARBRIA WHITE,Admin Dissolved
2009082600338,"DAUGHTERS OF DESTINY, INC.",LEGAL NAME,Domestic Nonprofit Corporation,"1949 ASCOT COURT, APT C, INDIANAPOLIS, IN, 46260, USA",JENNIFER ROBINSON,Admin Dissolved
201908211341694,DAUGHTERS OF DOLORES LLC,LEGAL NAME,Domestic Limited Liability Company,"8205 Lake Point Court, Indianapolis, IN, 46256, USA","James Woodson, IV",Active
2010082400320,"DAUGHTERS OF ERIN, INC.",LEGAL NAME,Domestic Nonprofit Corporation,"2501 ORIOLE TRAIL # 7, LONG BEACH, IN, 46360, USA",MARY CLARE BERGERSON,Admin Dissolved
2015030600623,DAUGHTERS OF GOD INC.,FORMER NAME,Domestic Nonprofit Corporation,"545 N. CENTENNIAL ST, INDIANAPOLIS, IN, 46222, USA",LENA DICKERSON,Active
1991121259,DAUGHTER'S OF JUDAH MINISTRIES INCORPORATED,LEGAL NAME,Domestic Nonprofit Corporation,"BRIGHTWOOD STATION, 2830 N. SHERMAN DR., INDPLS, IN, 46218, USA",PATTY BLAKE FRANKLIN,Admin Dissolved
192291-023,DAUGHTERS OF LIBERTY,LEGAL NAME,Domestic Miscellaneous,NONE,,Revoked
201604251138943,DAUGHTER'S OF LIOS INC,LEGAL NAME,Domestic Nonprofit Corporation,"484 E CARMEL DR, STE 179, Carmel, IN, 46032, USA",CHOYCE S. GUICE ROBERTSON,Admin Dissolved
201607061148694,DAUGHTERS OF NAOMI EMBRACED INC.,LEGAL NAME,Domestic Nonprofit Corporation,"4217 York Rd, South Bend, IN, 46614, USA",Jennifer L Sabin,Active
2011021500850,DAUGHTERS OF PEARL LLC,LEGAL NAME,Domestic Limited Liability Company,"6821 ANTELOPE DR, INDIANAPOLIS, IN, 46278, USA",TAKISHA A HUNT,Admin Dissolved
201608091153225,"DAUGHTERS OF PENELOPE 60 CHARITABLE FOUNDATION, INC.",LEGAL NAME,Domestic Nonprofit Corporation,"51087 Placid Pointe Ct, Granger, IN, 46530, USA",Patricia C Rogers,Active
2001011900356,DAUGHTERS OF PROPHECY,ASSUMED BUSINESS NAME,Domestic Nonprofit Corporation,"10202 East Washington Street, Suite 234, Indianapolis, IN, 46229 - 2628, USA",REV. DR. JACQUELINE L CARROLL,Active
2012072300583,DAUGHTERS OF ROYALTY,RESERVED NAME,,"2392 BUCHANAN STREET, GARY, IN, 46407, USA",,Expired
1997091183,"DAUGHTERS OF THE AMERICAN REVOLUTION, LAFAYETTE SPRINGS CHAPTER",LEGAL NAME,Domestic Nonprofit Corporation,"74 Guttenberg Lane, Tell City, IN, 47586, USA",REBECCA FENN,Active
193039-133,DAUGHTERS OF THE BRITISH EMPIRE IN THE STATE OF IND,LEGAL NAME,Domestic Nonprofit Corporation,NONE,,Admin Dissolved
2009110600399,"DAUGHTERS OF THE KING INTERNATIONAL, INCORPORATED",LEGAL NAME,Domestic Nonprofit Corporation,"10363 FAIRMONT LN, INDIANAPOLIS, IN, 46234, USA",JANET LAOYE,Active
194273-043,DAUGHTERS OF UNION VETERANS OF CIVIL WAR 1861-65,FOREIGN LEGAL NAME,Foreign Nonprofit Corporation,"908 WASHINGTON STREET, COLUMBUS, IN, 47201, USA",Barbara Rae Stone,Active
1998120804,"DAUGHTERS OF ZION MINISTRIES, INC.",LEGAL NAME,Domestic Nonprofit Corporation,"8460 Valley View Dr., MARTINSVILLE, IN, 46151, USA",Shirley J. Allore,Admin Dissolved
2003053000914,"DAUGHTERS OF ZION, INC.",LEGAL NAME,Domestic Nonprofit Corporation,"6923 DEERBROOK CT., INDIANAPOLIS, IN, 46214, USA",RENA MARIE WILBURN,Active
1999122900259,DAUGHTERS PROPERTIES LIMITED PARTNERSHIP,FOREIGN LEGAL NAME,Foreign Limited Partnership,"420 MAIN ST, STE 1404, EVANSVILLE, IN, 47708, USA",WILLIAM J. MULLER,Active
1999120900024,"DAUGHTERS PROPERTIES, INC.",FOREIGN LEGAL NAME,Foreign For-Profit Corporation,"420 MAIN STREET, STE 1404, EVANSVILLE, IN, 47708 - 1507, USA",WILLIAM MULLER,Active
1995010583,"DAUGHTERTY TEGARDEN MARKETING & DESIGN, LLC",LEGAL NAME,Domestic Limited Liability Company,NONE,Scott Tegarden,Admin Dissolved
2000051500230,"DAVIS AND DAUGHTERS WASH AND LUBE, INC.",LEGAL NAME,Domestic For-Profit Corporation,"915 NORTH LINCOLN STREET, GREENSBURG, IN, 47240, USA",ROSS R. DAVIS,Active
2014121900042,DEBORAH'S DAUGHTERS OUTREACH SERVICES,RESERVED NAME,,"5435 EMERSON WAY SUITE 210, INDIANAPOLIS, IN, 46226, USA",,Expired
2015031300388,DEBORAH'S DAUGHTERS TRANSITIONAL HOUSING,ASSUMED BUSINESS NAME,Domestic Nonprofit Corporation,"5435 EMERSON WAY, STE 210, INDIANAPOLIS, IN, 46226, USA",MARTIA L CARTER,Active
2015031300388,DEBORAH'S DAUGHTERS TRANSITIONAL HOUSING & OUTREACH SERVICES INC,LEGAL NAME,Domestic Nonprofit Corporation,"5435 EMERSON WAY, STE 210, INDIANAPOLIS, IN, 46226, USA",MARTIA L CARTER,Active
2011051600626,DEB'S DAUGHTERS LLC,LEGAL NAME,Domestic Limited Liability Company,"1040 FRANKLIN AVENUE, BROOKVILLE, IN, 47012, USA",HEIDI SMITH,Admin Dissolved
2005092000495,"DELTA OMICRON ZETA, DAUGHTERS OF ZION CHRISTIAN SORORITY, INC.",LEGAL NAME,Domestic Nonprofit Corporation,"2099 N DUNN ST, BLOOMINGTON, IN, 47408, USA",REDGINA L NORRIS,Admin Dissolved
2005010600230,"DELTA OMICRON ZETA, DAUGHTERS OF ZION CHRISTIAN SORORITY, INC.",LEGAL NAME,Domestic Nonprofit Corporation,"1444 MEDFORD AVE, INDIANAPOLIS, IN, 46222, USA",JAEL JONES,Voluntarily Dissolved
2015110500082,DESTINY'S DAUGHTERS MINISTRIES INC,RESERVED NAME,,"3943 MARSEILLE RD, INDIANAPOLIS, IN, 46226, USA",,Expired
2015122900095,DESTINY'S DAUGHTERS MINISTRIES INC.,LEGAL NAME,Domestic Nonprofit Corporation,"6086 Southbay DR, Indianapolis, IN, 46250, USA",RENAE GREEN-HART,Active
2011033100282,DG'S DAUGHTER'S CLEANING SERVICE LLC,LEGAL NAME,Domestic Limited Liability Company,"1901 EAST CEDAR CANYONS ROAD, FORT WAYNE, IN, 46845, USA",MICHAELLE R. HAGGENJOS,Admin Dissolved
196807-026,DOERFLEIN AND SONS AND DAUGHTERS INC.,LEGAL NAME,Domestic For-Profit Corporation,"417 EAST 8TH STREET, BROOKVILLE, IN, 47012, USA",LEE ROY A. DOERFLEIN,Admin Dissolved
2015100600159,DOROTHY'S DAUGHTERS DRY GOODS & DESIGN LLC,LEGAL NAME,Domestic Limited Liability Company,"2850 ASHLAND ST., WEST LAFAYETTE, IN, 47906, USA",ANASTASIA GENSIC KRUTULIS,Active
2010040900953,DURHAM & DAUGHTERS LAWNCARE LLC,LEGAL NAME,Domestic Limited Liability Company,"10435 State Road 48, Auruora, IN, 47001, USA",Betty Durham,Admin Dissolved
2008050100383,"DURHAM AND DAUGHTERS LAWN & GARDEN, LLC",LEGAL NAME,Domestic Limited Liability Company,"10435 State Road 48, Aurora, IN, 47001, USA",Chris W. Durham,Admin Dissolved
198401-133,"EAST CENTRAL PROVINCE OF DAUGHTERS OF CHARITY, INC.",FORMER NAME,Domestic Nonprofit Corporation,"9400 New Harmony Rd., EVANSVILLE, IN, 47720, USA",CT CORPORATION SYSTEM,Voluntarily Dissolved
201608301156297,"ELEANOR'S DAUGHTER, LLC",LEGAL NAME,Domestic Limited Liability Company,"898 Boxwood Dr, Munster, IN, 46321, USA",Angela E Poole,Admin Dissolved
2008082100011,ENGLISH SONS & CHEROKEE DAUGHTERS,ASSUMED BUSINESS NAME,Domestic Limited Liability Company,"4165 West 700 North, Sharpsville, IN, 46068, USA","William E. Wendling, Jr.",Cancelled
201708251211611,"ERIC AND DAUGHTER'S GARDEN TILLING, L.L.C.",LEGAL NAME,Domestic Limited Liability Company,"po box 132, 105 WEST FOURTH ST, Milford, IN, 46542 - 0132, USA",HEIDI L. KOLBERG,Active
2008102300031,ESTHER'S DAUGHTERS INC.,LEGAL NAME,Domestic Nonprofit Corporation,"1849 E. 8th St., Jeffersonville, IN, 47130, USA",Natalie Witherspoon,Admin Dissolved
194052A007,FARMER'S DAUGHTER INC,LEGAL NAME,Domestic For-Profit Corporation,NONE,,Admin Dissolved
