Business Name,Business ID,Homestate Name,Previous Name,Business Type,Principal Office Address,Registered Agent Name,Status
THE FARMER'S DAUGHTER,336336,,,Trade Name,"2285 PORTLAND ST, ST JOHNSBURY, VT, 05819, USA",N/A,Expired
THE FARMER'S DAUGHTER,73572,,,Trade Name,"U.S. RT. #2, ST. JOHNSBURY, VT, 05819, USA",N/A,Expired
4 Daughters Decks and Landscape LLC,468292,,HASKINS HOME MAINTENANCE LLC,Domestic Limited Liability Company,"125 Concord Road, Northfield, NH, 03276, USA","Haskins, Scott M",Good Standing
ARACHNE'S DAUGHTERS CREATIONS,305798,,,Trade Name,"243 PLEASANT STREET #27, CONCORD, NH, 03301, USA",N/A,Expired
BADGA & DAUGHTER'S,247891,,,Trade Name,"7003 CLINTON ST, LOUDON, NH, 03301, USA",N/A,Expired
BADGA & DAUGHTER'S WELDING,377478,,,Trade Name,"39 GOBORO RD, EPSOM, NH, 03224, USA",N/A,Expired
Bill Kalil & Daughter's Auto Wholesale,588284,,,Trade Name,"66 Rt 125, Brentwood, NH, 03833, USA",N/A,Expired
BLACKBIRD'S DAUGHTER BOTANICALS LLC,789199,,,Domestic Limited Liability Company,"57 Lois Lane, Barrington, NH, 03825, USA",Jessica LaBrie,Rejected
BLACKBIRD'S DAUGHTER BOTANICALS LLC,789818,,,Domestic Limited Liability Company,"57 Lois Lane, Barrington, NH, 03825, USA",Jessica LaBrie,Not In Good Standing
"Bob Watson & Daughters, LLC",534370,,,Domestic Limited Liability Company,"3 Schoolhouse Rd, Tuftonboro, NH, 03816, USA","Watson, Robert",Administratively Dissolved
Buntin-Rumford-Webster Chapter of the National Society of the Daughters of the American Revolution,62003,,CAPTAIN ANDREW BUNTIN CHAPTER DAUGHTERS OF THE AMERICAN REVOLUTION,Domestic Nonprofit Corporation,"226 B Taylor Circle, Pembroke, NH, 03275, USA",N/A,Good Standing
Buntin-Rumford-Webster Chapter of the National Society of the Daughters of the American Revolution,62003,,"BUNTIN CHAPTER, DAUGHTERS OF THE AMERICAN REVOLUTION",Domestic Nonprofit Corporation,"226 B Taylor Circle, Pembroke, NH, 03275, USA",N/A,Good Standing
CATHOLIC DAUGHTERS OF THE AMERICAS COURT BISHOP MOLLOY #1441,257224,,,Domestic Nonprofit Corporation,"% KATHERINE MORMAN, REGION 7 JUNIPER LN, NASHUA, NH, 03063, USA",N/A,Dissolved
Catholic Daughters of the Americas Court Pope John Paul II #2602,658766,,,Domestic Nonprofit Corporation,"9 Bonney St, Penacook, NH, 03303, USA",N/A,Good Standing
"Catholic Daughters Of The Americas, Court St Joseph # 1773",568590,,,Domestic Nonprofit Corporation,"Court Saint Joseph #1773 Brattleboro Rd PO Box 322, Hinsdale, NH, 03451, USA",N/A,Good Standing
"CECILE'S DAUGHTER, INC.",140488,,,Domestic Profit Corporation,"2 TOWLE FARM RD, HAMPTON, NH, 03842, USA","Casassa, H Alfred, Esq",Dissolved
Clara Barton Daughters of America,678588,,,Domestic Nonprofit Corporation,NONE,N/A,Admin Dissolution
Coburn & Daughter Excavation LLC,534957,,,Domestic Limited Liability Company,"226 Eastern Corners Rd, Campton, NH, 03223, USA","Coburn, Kevin M.",Admin Dissolution
COURT JOSEPHINE #319 CATHOLIC DAUGHTERS OF THE AMERICAS,118023,,,Domestic Nonprofit Corporation,"ST BERNARD'S PARISH 173 MAIN ST, KEENE, 03431, USA",N/A,Admin Diss LLP-CC-NP
D.K. ANDERSON AND DAUGHTERS CARPENTRY,496414,,,Trade Name,"25 COMMERCIAL DR UNIT 7B, BRENTWOOD, NH, 03833, USA",N/A,Expired
DAD - DAUGHTERS ANNUAL DANCE,789273,,,Domestic Nonprofit Corporation,"10 Philbrook Terrace, Hampton, NH, 03842, USA",N/A,Good Standing
DAD AND DAUGHTERS' SHOP,146706,,,Trade Name,"18 PILGRIM DR, LITCHFIELD, NH, 03052, USA",N/A,Expired
DADDY DAUGHTER INDUSTRIES,489340,,,Trade Name,"67 Brook Farm Village, Rochester, NH, 03839, USA",N/A,Expired
"DANIEL J. DONAHUE & DAUGHTERS, INC.",74245,,,Domestic Profit Corporation,"270 OCEAN RD, GREENLAND, NH, 03840, USA","McEachern, Paul M, Esq",Dissolved
DAUGHTERS OF ISABELLA,829801,,,Domestic Nonprofit Corporation,"46 Ash Street, Nashua, NH, 03060, USA",N/A,Good Standing
"DAUGHTERS OF MARY, MOTHER OF HEALING LOVE",449232,,,Domestic Nonprofit Corporation,"19 Grant Street, Rochester, NH, 03867, USA",N/A,Good Standing
Daughters of Penelope Northern New England District 9,708017,,,Domestic Nonprofit Corporation,"10 Gloria St, Rochester, NH, 03867, USA",N/A,Good Standing
Deb & Daughters Professional Cleaning & Organizing Services,700755,,,Trade Name,"189 Aaron Drive, Manchester, NH, 03109, USA",N/A,Active
"DEIDRE'S DAUGHTERS, LLC",763013,,,Domestic Limited Liability Company,"3 High St, Hampton, NH, 03842, USA",Kelley-Perrin Deidre P,Administratively Dissolved Name Protection
