Record No	Entity Type	Entity Status	Registry Number	Name Status	Name	Assoc Search
   1	DBC	INA	510147-94  	CUR	  2 DAUGHTERS INC.	 
   2	ABN	ACT	473926-91  	CUR	  4 DAUGHTERS IRISH PUB	 
   3	DBC	ACT	1477628-92  	CUR	  4 DAUGHTERS, INC.	 
   4	ABN	INA	893738-99  	CUR	  ANDERSON AND DAUGHTER DESIGN	 
   5	DLLC	INA	1012184-93  	CUR	  ASTORIA CLOWNS SONS AND DAUGHTERS LLC	 
   6	ABN	INA	1089215-94  	CUR	  ATHENA'S DAUGHTERS	 
   7	ABN	ACT	914700-97  	CUR	  B KEEPERS DAUGHTER	 
   8	ABN	INA	863990-95  	CUR	  BARBIE'S DAUGHTER	 
   9	ABN	ACT	1593319-91  	CUR	  BOHEMIAN DAUGHTERS MICRO FARM	 
  10	DLLC	INA	650258-93  	CUR	  CAPTAIN'S DAUGHTER LLC	 
  11	ABN	INA	641969-92  	CUR	  CATHOLIC DAUGHTERS OF ALUMINUM SIDING	 
  12	DNP	INA	1238059-96  	CUR	  CATHOLIC DAUGHTERS OF THE AMERICAS COURT HOLY ROSARY #1386	 
  13	DNP	ACT	1473607-96  	CUR	  CATHOLIC DAUGHTERS OF THE AMERICAS COURT MOTHER FRANCES CABRINI #1415	 
  14	DNP	ACT	1371348-96  	CUR	  CATHOLIC DAUGHTERS OF THE AMERICAS ROSE OF LIMA #2716	 
  15	DNP	INA	799730-96  	CUR	  CATHOLIC DAUGHTERS OF THE AMERICAS, COURT HOLY ROSARY #1386	 
  16	DNP	ACT	324792-97  	CUR	  CATHOLIC DAUGHTERS OF THE AMERICAS, COURT NO. 1295	 
  17	DNP	ACT	1460207-97  	CUR	  CATHOLIC DAUGHTERS OF THE AMERICAS, COURT OREGON #118	 
  18	DNP	INA	503398-95  	CUR	  CATHOLIC DAUGHTERS OF THE AMERICAS-COURT ST MARY #1800	 
  19	ABN	INA	755666-96  	CUR	  CINDY LOU 'N' DAUGHTER TOO CATERERS	 
  20	DLLC	INA	941068-96  	CUR	  CINDYLOU 'N' DAUGHTER TOO CATERING LLC	 
  21	ABN	ACT	884465-97  	CUR	  CLARK & DAUGHTER AUCTIONS	 
  22	DLLC	ACT	1101842-98  	CUR	  CONNECT THE DAUGHTERS, LLC	 
  23	ABN	INA	1086238-93  	CUR	  COOS COUNTY FATHER DAUGHTER DANCE	 
  24	DNP	ACT	1421542-93  	CUR	  COOS COUNTY FATHER DAUGHTER DANCE	 
  25	DBC	INA	332779-97  	CUR	  CORKY'S DAUGHTER INC.	 
  26	DLLC	INA	409907-98  	CUR	  COVENANT DAUGHTER DESIGNS LLC	 
  27	DNP	ACT	575182-93  	CUR	  CRYA DAUGHTERS OF NEPTUNE, INC.	 
  28	DBC	INA	173899-82  	CUR	  D & D FORD & DAUGHTER , INC.	 
  29	DNP	INA	651231-93  	CUR	  D.O.V.E. DAUGHTERS OF VIOLENT ENCOUNTERS	 
